aptos_por_local,bairro,endereco,lat,local_de_votacao,long,secoes_eleitorais,zona_eleitoral_nome,zona_eleitoral_nro
4173,VILA ZILDA,"RUA SOUSA BREVES, 80, São Paulo",-23.555805,EE. PROF. JOÃO DIAS DA SILVEIRA,-46.546326,416ª; 418ª; 443ª; 452ª; 461ª; 463ª; 471ª; 486ª; 491ª; 501ª; 511ª; 524ª;,TATUAPÉ,253
5184,SAUDE,"AV. INHAIBA, 92, São Paulo",-23.612812,EE. RAUL FONSECA,-46.608742,Da 161ª à 176ª.,CURSINO,413
3064,PARQUE DAS FLORES,"RUA DOS LÍRIOS, 02, São Paulo",-23.603003,EMEF. PROFA. MARIA APARECIDA VILASBOAS,-46.468735,566ª; 581ª; 590ª; 598ª; 605ª; 612ª; 617ª; 630ª; 658ª; 685ª; 717ª;,SÃO MATEUS,375
4860,JARDIM SANTO ANDRÉ,"RUA GODOY BUENO, 19, São Paulo",-23.604262,EE. PROF. MARCOS ANTONIO COSTA,-46.463928,353ª; 362ª; 388ª; 401ª; 413ª; 426ª; 442ª; 461ª; 473ª; 488ª; 502ª; 513ª; 532ª; 655ª; 684ª; 712ª; 732ª;,SÃO MATEUS,375
3387,RESIDENCIAL SOL NASCENTE,"RUA SÃO MARCOS, 79, São Paulo",-23.450648,EE. PARQUE ANHANGUERA,-46.71936,Da 214ª à 221ª; 273ª; 341ª; 477ª;,PERUS,389
6796,JARDIM CARUMBÉ,"RUA FLORIANO DA COSTA BARROSO, 10, São Paulo",-23.466396,EE. PROFESSOR RENATO DE ARRUDA PENTEADO,-46.684341,337ª; 344ª; 348ª; 364ª; 377ª; 391ª; 407ª; Da 428ª à 429ª; 442ª; 451ª; 465ª; 477ª; 485ª; 498ª; 515ª; 568ª; 587ª;,BRASILÂNDIA,376
1364,JARDIM GUARANI,"RUA SANTANA DO ARACUARI, 185, São Paulo",-23.465136,EMEI VEREADOR ALEX FREUA NETTO,-46.695328,417ª; 443ª; 464ª; 483ª;,BRASILÂNDIA,376
3495,VILA ARICANDUVA,"RUA DR. LUIS CARLOS, 740, São Paulo",-23.531255,EE DONA ZALINA ROLIM,-46.498947,Da 1ª à 7ª; 293ª; 354ª; 417ª; 429ª;,VILA MATILDE,347
2760,VILA ROMANA,"PRAÇA ALFREDO WEISZFLOG, S/N, São Paulo",-23.52307,EMEI. NOEMIA IPPÓLITO,-46.714554,Da 283ª à 287ª; 341ª; 369ª;,LAPA,250
4575,JARDIM SHANGRILA(ZONA NORTE),"RUA PRÍNCIPE, 38, São Paulo",-23.440569,EMEF. PROF. ANTONIO RODRIGUES DE CAMPOS,-46.720734,Da 120ª à 122ª; 258ª; 265ª; 286ª; 301ª; 323ª; 356ª; 365ª; 377ª; 398ª;,PERUS,389
3209,SITIO VALE VERDE,"RUA PROJETADA,64, São Paulo",-23.696092,EE. JARDIM CAPELA II,-46.766739,247ª; 251ª; 253ª; 256ª; 260ª; Da 266ª à 267ª; 271ª; 344ª; 354ª;,PIRAPORINHA,372
3687,JARDIM SANTA FÉ (ZONA SUL),"RUA JULIA MAMÉIA, 200, São Paulo",-23.758953,EMEF. PROF. AYRTON OLIVEIRA SAMPAIO,-46.706314,Da 179ª à 183ª; Da 265ª à 266ª; 280ª; 300ª; 307ª; 556ª;,PARELHEIROS,381
1789,JARDIM SANTA FÉ (PARELHEIROS),"RUA CONDE DE LACASTRE, 209, São Paulo",-23.759581,EMEF. ULYSSES DA SILVEIRA GUIMARÃES,-46.705627,376ª; 393ª; 408ª; 433ª; 481ª; 527ª; 566ª;,PARELHEIROS,381
2328,JARDIM ELZA,"RUA FERNANDO DE GODOI, 21, São Paulo",-23.521811,EE. PROF. JOÃO BATISTA VILANOVA ARTIGAS,-46.389084,Da 117ª à 122ª; 550ª; 570ª; 583ª;,ITAIM PAULISTA,352
3863,AGUA BRANCA,"RUA SABAÚNA, S/N, São Paulo",-23.528107,EE. RAUL CORTEZ,-46.698074,Da 288ª à 289ª; 305ª; 324ª; 344ª; 373ª; 392ª; 400ª; 418ª; 427ª; 448ª;,LAPA,250
49,VILA LEOPOLDINA,"AV. NAÇÕES UNIDAS, 1230, São Paulo",-23.511737,CDP III  CENTRO DE DETENÇÃO PROVISÓRIA DE PINHEIROS III,-46.704254,442ª.,LAPA,250
5917,JARDIM CAMARGO NOVO,"RUA DA CONQUISTA , 50, São Paulo",-23.487179,EE. DEPUTADO JOÃO DÓRIA,-46.399384,300ª; 310ª; 323ª; 326ª; 333ª; 342ª; 349ª; 355ª; 374ª; 382ª; 389ª; 396ª; 406ª; 411ª; 423ª; 432ª; 442ª; 451ª;,ITAIM PAULISTA,352
4493,CIDADE PATRIARCA,"RUA PEDRO MORCILLA FILHO, 578, São Paulo",-23.555175,EMEF. FIRMINO TIBÚRCIO DA COSTA,-46.491394,Da 196ª à 206ª; 419ª;,VILA MATILDE,347
6772,JARDIM MARIA FERNANDES,"RUA ARCELINA TEIXEIRA DA SILVA, S/N, São Paulo",-23.75581,EE. JORGE SARAIVA,-46.703568,113ª; Da 208ª à 222ª; 506ª; 518ª; 557ª;,PARELHEIROS,381
3475,JARDIM IVA,"RUA PROFA. ALZIRA DE OLIVEIRA GILIOLI, 32, São Paulo",-23.552658,EMEF ROQUETE PINTO,-46.534653,479ª; 489ª; 498ª; 508ª; 523ª; 533ª; 540ª; 574ª; 587ª; 611ª; 629ª; 637ª; 648ª;,TATUAPÉ,253
