lat,long,aptos_por_local,local_de_votacao,zona_eleitoral_nro,bairro,endereco,secoes_eleitorais,zona_eleitoral_nome,secao,PT,PMDB,PSDB,PSD
-46.704193,-23.90661,2166.0,EE. PROF. HILTON REIS DOS SANTOS,381.0,EMBURA,"ESTRADA ENGENHEIRO MARSILAC, 8029, KILOMETRO 45,8, São Paulo",291ª; Da 294ª à 295ª; 333ª; 378ª; 410ª; 497ª; 558ª;,PARELHEIROS,3056.0,380.0,120.0,227.0,210.0
-46.644562,-23.88479,4150.0,EE. LOTEAMENTO DAS GAIVOTAS 1,371.0,JARDIM GAIVOTAS,"AVENIDA SÃO PAULO, S/N, São Paulo",602ª; 622ª; 624ª; 638ª; 651ª; 662ª; 680ª; 706ª; 717ª; 729ª;,GRAJAÚ,6631.0,1008.0,100.0,115.0,725.0
-46.641064,-23.883535,10789.0,FECAP - LIBERDADE,1.0,LIBERDADE,"AV. LIBERDADE, 532, São Paulo",Da 260ª à 289ª; 387ª; 404ª; 418ª;,BELA VISTA,9444.0,949.0,345.0,1485.0,851.0
-46.641293,-23.883215,8391.0,FATEC FACULDADE DE TECNOLOGIA DE SÃO PAULO,3.0,LUZ,"AV. TIRADENTES, 615, São Paulo",Da 36ª à 51ª; 198ª; Da 203ª à 205ª; 208ª; 210ª;,SANTA IFIGÊNIA,1924.0,930.0,210.0,1043.0,581.0
-46.641476,-23.883102,2870.0,E.E PROF. LEÔNIDAS PAIVA,256.0,BARRO BRANCO (ZONA NORTE),"RUA DOS MÁRTIRES ARMÊNIOS, 645, São Paulo",277ª; 286ª; 312ª; 325ª; 353ª; 364ª; 387ª; 424ª; 458ª;,TUCURUVI,3186.0,188.0,151.0,350.0,253.0
-46.643085,-23.882532,2371.0,EE. ARTUR SABÓIA,413.0,VILA VERA,"RUA TAQUARICHIM, 22, São Paulo",Da 201ª à 203ª; 310ª; 334ª; 339ª; 351ª;,CURSINO,1940.0,157.0,141.0,258.0,175.0
-46.643127,-23.88208,2288.0,EMEF. TENENTE ALÍPIO ANDRADA SERPA,374.0,JARDIM CLAUDIA,"RUA NICOLAU COPÉRNICO, 165, São Paulo",341ª; 381ª; 403ª; 435ª; 467ª; 492ª; 527ª; 596ª;,RIO PEQUENO,3642.0,385.0,63.0,243.0,81.0
-46.6437,-23.881493,2730.0,ESCOLA ESTADUAL PROFESSORA MARIA ANTONIETTA DE CASTRO,420.0,JARDIM JULIETA,"RUA INÁCIO FIRMO, 65, São Paulo",Da 284ª à 288ª; 323ª; 333ª; 348ª; 355ª;,VILA SABRINA,2789.0,338.0,66.0,168.0,76.0
-46.75906,-23.861601,6163.0,EE. ROBERTO MANGE,381.0,JARDIM MYRNA,"ESTRADA MUNICIPAL, S/N, São Paulo",285ª; 298ª; 305ª; 309ª; 314ª; 319ª; 326ª; 329ª; 331ª; 336ª; 341ª; 347ª; 349ª; 352ª; Da 355ª à 356ª; 364ª;,PARELHEIROS,5616.0,1429.0,266.0,230.0,657.0
-46.697662,-23.846975,4493.0,EE. LUCAS ROSCHEL RASQUINHO,381.0,COLONIA (ZONA SUL),"RUA PAULINO GOTTSFRITZ, 50, São Paulo",288ª; 302ª; 315ª; 340ª; 358ª; 388ª; 411ª; 436ª; 454ª; 469ª; 486ª; 504ª; 545ª;,PARELHEIROS,5296.0,860.0,240.0,209.0,609.0
-46.735939,-23.839581,2442.0,EE. PROF. BENEDITO FERREIRA DE ALBUQUERQUE,381.0,VILA ROSCHEL,"RUA BENJAMIM DIEMAR, S/N, São Paulo",Da 157ª à 163ª.,PARELHEIROS,1120.0,570.0,132.0,124.0,300.0
-46.724781,-23.830429,4181.0,EE. SENADOR ALEXANDRE MARCONDES FILHO,381.0,JARDIM NOVO PARELHEIROS,"RUA MARIA ROSCHEL SCHUNCK, 915 A, São Paulo",Da 40ª à 51ª.,PARELHEIROS,546.0,896.0,195.0,209.0,645.0
